output
file,key,en,zh-TW
kline,time_Line,Time,
kline,time_1m,1m,
kline,time_3m,3m,
kline,time_5m,5m,
kline,time_15m,15m,
kline,time_30m,30m,
kline,time_1H,1H,
kline,time_2H,2H,
kline,time_4H,4H,
kline,time_6H,6H,
kline,time_1D,1D,
kline,time_1W,1W,
kline,time_1M,1M,
kline,tab_line,Chart,
kline,tab_depth,Depth,
kline,chartType_Bars,Bars,
kline,chartType_Candles,Candles,
kline,chartType_Hollow_Candles,Hollow Candles,
kline,chartType_Line,Line,
kline,chartType_Area,Area,
kline,chartType_Heikin_Ashi,Heikin Ashi,
common,degate_account,DeGate Account,
common,Trade,Trade,
common,Order,Order,
common,Grid,Grid Strategy,
common,Campaign,Campaign,
common,DCA,DCA,
common,Advanced,Advanced,
common,Add,Add,
common,Add_Funds,Add Funds,
common,eth_added_1,1 ETH Added,
common,eth_sent_1,1 ETH Sent,
common,Send,Send,
common,Internal_Transfer,Internal Transfer,
common,Miscellaneous,Miscellaneous,
common,Bridge,Bridge,
common,Mining,Mining,
common,Info,Analytics,
common,Analytics,Analytics,
common,Support,Support,
common,Help,Help,
common,Tips,Tip,
common,Statistics,Statistics,
common,Coming_soon,Coming Soon,
common,Faucet,Faucet,
common,more,More,
common,hide,Hide,
common,change,Change,
common,Wrong Network,Wrong Network,
common,avbl,Avbl:,
common,chain_1,Mainnet,
common,chain_3,Ropsten,
common,chain_4,Rinkeby,
common,chain_5,Goerli,
common,chain_42,Kovan,
common,chain_79377087078960,Arbitrum,
common,chain_212984383488152,Arbitrum,
common,chain_421611,Arbitrum,
common,chain_42161,Arbitrum,
common,chain_10,Optimism,
common,chain_69,Optimism,
common,insufficient_balance_AAA,There is not enough AAA in your wallet. Please check and try again.,
common,insufficient_balance,Insufficient balance,
common,wallet_denied_sign,Message signature was rejected.,
common,common_err,Something went wrong. Please try again later.,
common,common_err_ledger_version,"An error has occurred. Please ensure that your Ledger Ethereum app is up to date(1.9.10 or later), or you may try again later.",
common,network_1,Ethereum mainnet,
common,network_err,Network error. Please try again later.,
common,rate_limit_err,"Access frequency is too high, please retry in one minute.",
common,error_InsufficientGasFunds,Insufficient Gas in wallet,
common,notification_transaction_send,Transaction sent,
common,view_on_etherscan,View on Blockchain Explorer,
common,view_on_explorer,View Address,
common,switch_network,Switch Network,
common,switch_to_Arbitrum,Switch to Arbitrum to continue.,
common,switch_to_MAINNET_in_metamask,Please switch to MAINNET in Metamask,
common,switch_to_MAINNET,Please switch to MAINNET,
common,switch_network_in_walletconnect,Go to your wallet and switch network with WalletConnect,
common,Retry,Retry,
common,wallet_tips,Please approve in browser wallet,
common,wallet_ledger_tips,Please approve in Ledger hardware,
common,wallet_metamask_tips,Please approve in MetaMask,
common,wallet_walletconnect_tips,Please go to your wallet to approve with WalletConnect,
common,wallet_cancelled_tips,You have canceled the signature,
common,Close,Close,
common,copied,Copied,
common,Details,Details,
common,view_details,View Details,
common,Share,Share,
common,view_graph,View in Chart,
common,Dismiss,Dismiss,
common,Cancel,Cancel,
common,End,End,
common,End_grid,End,
common,Confirm,Confirm,
common,Cancel_all,Cancel All,
common,cancel_all_tips,Cancel all open orders,
common,Submit,Submit,
common,no_data,No data,
common,all_data_displayed,All data displayed,
common,no_data_within_90_days,No data within 90 days,
common,only_display_90_days,Only displaying data from past 90 days,
common,displayed_90_days,Displaying data from past 90 days,
common,only_data_beyond_90_days_trade,"To access data beyond 90 days, please select View All""  followed by the ""Export Data"" function""",
common,only_data_beyond_90_days_grid_detail,The historical query of data beyond the recent 90 days is currently not supported,
