wallet
file,key,en,zh-TW
common,choose_token,Choose Token,
common,recipient,Recipient,
common,recent,Recent,
common,price,Price,
common,amount,Amount,
common,available,Available,
common,gas_fee,Gas Fee,
common,Send,Send,
common,Send_ETH,Send ETH,
common,Internal_Transfer,Internal Transfer,
common,transfer,Internal Transfer,
common,transfer_tips,Transfer token to another address within the DeGate Protocol.,
common,transfer_ETH,Internal Transfer ETH,
common,btn_max,Max,
common,degate_insufficient_balance,Insufficient balance,
common,max_digits_exceeded,Max digits exceeded,
common,wallet_insufficient_fees,Insufficient balance in wallet,
common,deGate_insufficient_fees,Insufficient DeGate Balance,
common,token_search_placeholder,"Search token, contract address",
common,token,Token,
common,degate_balance,DeGate Balance,
common,tips_gas,The gas fee used to execute this on-chain transaction will be deducted from your DeGate Balance.,
common,tips_gas2,Gas Fee covers on-chain costs for trade settlements. Excess fees are refunded.,
common,Close,Close,
common,Help,Help,
common,no_token,Token Not Found,
common,chain_1,Mainnet,
common,chain_3,Ropsten,
common,chain_4,Rinkeby,
common,chain_5,Goerli,
common,chain_42,Kovan,
common,chain_79377087078960,Arbitrum,
common,chain_212984383488152,Arbitrum,
common,chain_421611,Arbitrum,
common,chain_42161,Arbitrum,
common,chain_10,Optimism,
common,chain_69,Optimism,
common,Cancel,Cancel,
common,go_back,Go Back,
common,Back,Back,
common,copied,Copied,
common,Confirm,Confirm,
common,Create,Create,
common,Abort,Abort,
common,btn_confirm,Close,
common,btn_got_it,Got it,
common,wallet_cancelled_tips,You canceled the signature,
common,connect_ledger,Connect Ledger,
common,ledger_disconnect,Failed to execute 'transferOut' on 'USBDevice': The device was disconnected.,
common,wallet_tips,Please approve in browser wallet,
common,wallet_ledger_tips,Please approve in Ledger hardware,
common,wallet_metamask_tips,Please approve in MetaMask,
common,wallet_walletconnect_tips,Please go to your wallet to approve with WalletConnect,
common,view_asset_key,View Asset Key,
common,export_key_warning,A leak of the Asset Key can result in asset loss. Please ensure its safekeeping.,
common,export_key_confirm_btn,Continue to View,
common,view_asset_key_tips," <div>
        Here are the details of your Asset Key. <strong>Do NOT share</strong>{' '}
        with anyone to prevent potential asset loss.
      </div>
",
common,btn_buy_ETH,Buy ETH,
common,btn_sell_ETH,Sell ETH,
common,around,～ ,
common,need_help,Need Help,
common,time_now,now,
common,time_before, ,
common,time_1_minute,1 minute,
common,time_1_hour,1 hour,
common,time_1_day,1 day,
common,time_1_year,1 year,
common,time_M_minutes,M minutes,
common,time_M_m,Mm,
common,time_H_hours,H hours,
common,time_H_h,Hh,
common,time_D_days,D days,
common,time_D_d,Dd,
common,time_Y_years,Y years,
common,time_Y_y,Yy,
common,personal_sign_tips," <div>
        Metamask requests you to sign again with <i>Personal Sign</i> method
      </div>
",
common,personal_sign_reason,Possible Reasons,
common,personal_sign_reason1,1. Metamask is connected to hardware wallet,
common,personal_sign_reason2,2. Metamask version is outdated,
common,personal_sign_reason3,3. Others,
common,personal_sign_btn,Sign Again,
common,switch_wallet,Switch Account,
common,switch_walletConnect_tips1,"If you wish to switch to another account in the same wallet software, please perform it directly from the wallet and cancel this request.",
common,switch_walletConnect_tips2,"If you wish to use WalletConnect through a different wallet software, the system will disconnect from the existing connection first.",
common,switch_walletConnect_continue,Disconnect and Continue,
common,switch_metamask_tips,Please go to Metamask to switch account.,
common,switch_browser_wallet_tips,Please switch account in browser wallet.,
common,period_expired,Expired,
